tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
58.00;49217109#1_0;0.20;5.22;40.00;0.00;351440624#4_0;0.20;0.00;tripinfo_8 emissions_8 fcd_8;18.00;8;0;117.70;1.05;0.00;3.22;DEFAULT_VEHTYPE;;0;0.00;37602.321820;908.260490;5.005075;15.607608;0.659744;0;16.163892
105.00;337277984#6_0;117.80;10.25;30.00;0.00;337277951#3_0;0.92;0.00;tripinfo_6 emissions_6 fcd_6;75.00;6;0;722.59;1.03;0.00;6.92;DEFAULT_VEHTYPE;;0;0.00;152270.343378;2347.764059;14.178147;59.349733;2.218783;0;65.455218
123.00;337277970#1_1;79.16;6.87;65.00;0.00;337277970#2_0;0.20;0.00;tripinfo_13 emissions_13 fcd_13;58.00;13;0;391.86;1.09;0.00;13.76;DEFAULT_VEHTYPE;;1;1.00;129491.318517;3158.152201;17.365144;53.406052;2.225877;0;55.663782
129.00;337277951#3_1;0.92;7.91;0.00;0.00;49217116#0_0;5.10;0.00;tripinfo_0 emissions_0 fcd_0;129.00;0;0;894.91;1.06;0.00;34.98;DEFAULT_VEHTYPE;;1;17.00;266236.768272;6564.621255;36.060218;109.899492;4.699162;0;114.445807
131.00;337277951#4_1;36.12;8.39;20.00;0.00;42143918#1_0;5.10;0.00;tripinfo_4 emissions_4 fcd_4;111.00;4;0;715.37;1.01;0.00;30.93;DEFAULT_VEHTYPE;;2;12.00;208890.705908;4752.283041;26.478765;86.272204;3.646086;0;89.794445
148.00;42201285#1_0;31.78;8.46;25.00;0.00;351440624#4_0;0.20;0.00;tripinfo_5 emissions_5 fcd_5;123.00;5;0;684.77;1.08;0.00;53.75;DEFAULT_VEHTYPE;;1;40.00;276587.067333;9381.202682;49.149611;117.266243;5.396044;0;118.896466
183.00;337277970#0_0;0.20;6.84;15.00;0.00;554582106#1_0;5.10;0.00;tripinfo_3 emissions_3 fcd_3;168.00;3;0;445.03;0.94;0.00;110.17;DEFAULT_VEHTYPE;;3;92.00;340580.739373;16105.045016;81.258900;149.674500;7.412218;0;146.408112
200.00;337277957#0_0;98.10;7.77;100.00;0.00;49222369#3_0;5.10;0.00;tripinfo_20 emissions_20 fcd_20;100.00;20;0;546.90;0.99;0.00;26.01;DEFAULT_VEHTYPE;;2;11.00;173394.327533;4793.667375;25.797006;71.305975;2.935199;0;74.536691
203.00;337277951#0_1;0.20;3.90;45.00;0.00;492471759#3_0;5.10;0.00;tripinfo_9 emissions_9 fcd_9;158.00;9;0;629.48;0.89;0.00;75.05;DEFAULT_VEHTYPE;;2;55.00;296604.352902;11937.154466;61.221253;127.431446;5.959946;0;127.502578
215.00;337277981#4_0;0.20;7.08;55.00;0.00;42141326#3_0;5.10;0.00;tripinfo_11 emissions_11 fcd_11;160.00;11;0;776.83;0.86;0.00;69.55;DEFAULT_VEHTYPE;;4;42.00;300231.456632;9504.913871;50.202672;125.481480;5.484880;0;129.060404
